n,counterfactual,eventA,eventB,new_temp,new_label,pos_partition,neg_partition
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between  all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin  which bought an early version of such a computer from the Canadian company D-Wave Systems is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it had already solved the myriad challenges involved in quantum computation. But if it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion  something that can now take weeks, if ever, to determine.",bought,solved,AFTER,1,"{now, which, bought, had, already, solved} ",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between  all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin  which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago  is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. But if it had performed as Lockheed and D-Wave expect, the design could have been used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Skeptics say that D-Wave has yet to prove to outside scientists that it solved the myriad challenges involved in quantum computation. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion  something that can now take weeks, if ever, to determine.",solved,solving,AFTER,1,"{has, yet, solved, could, have, been, used}",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between  all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin  which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago  is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But if it had performed as Lockheed and D-Wave had expected, the design could have been used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than could have been done earlier. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion  something that can now take weeks, if ever, to determine.",solved,done,AFTER,1,"{has, solved, could, have, been, done, earlier}",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between  all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin  which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago  is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But if it performs as Lockheed and D-Wave expect, the design could have been used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than could have been done earlier. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion  something that can now take weeks, if ever, to determine.",expect,solving,AFTER,1,"{if, expect, could, have, been, used, to}",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor will soon be taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists want to develop quantum computers to work in companies like Microsoft, I.B.M. and Hewlett-Packard. Now, Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But if it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion something that can now take weeks, if ever, to determine.",deployed,taking,BEFORE,0,"{is, about, to, be, deployed, will, soon, be, taking}",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists are trying to develop quantum computer with the aim of working at companies like Microsoft, I.B.M. Now, Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But if it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion something that can now take weeks, if ever, to determine.",develop,working,BEFORE,0,"{are, trying, to, develop, with, of, working}",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to starte to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But if it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react before a solar burst or a pulse from a nuclear explosion something that can now take weeks, if ever, to determine.",burst,react,AFTER,1,"{would, react, before, burst}",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business.  As it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. But skeptics then say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion something that can now take weeks, if ever, to determine.",say,performs,AFTER,1,"{then, say, as, performs, has, yet}",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. Currently, the design performs as Lockheed and D-Wave expect and is used to supercharge even the most powerful systems. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion something that can now take weeks, if ever, to determine.",used,performs,EQUAL,2,"{and, is, used, currencly, performs}",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But it performs as Lockheed and D-Wave expect and the design is used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion something that can now take weeks, if ever, to determine.",solving,performs,EQUAL,2,"{performs, and, is, used, solving}",
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But it performs as Lockheed and D-Wave expect and the design is used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done tomorrow. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion something that can now take weeks, if ever, to determine.",done,performs,AFTER,1,"{can, be, done, tomorrow, but, performs}",
